Taxonomy,No.Seq,V1-V3(27F-534R),V4(515F-806R),V3-V4(341F-785R),V3-V4(341F-806R),V4-V5(515F-926R),V3-V4(CPRv1),V3-V4(CPRv2)
c__Paceibacteria,1481,2.633355840648211%,8.777852802160702%,56.51586765698852%,56.31330182309251%,0.0675219446320054%,77.44767049291019%,77.44767049291019%
c__Saccharimonadia,651,7.2196620583717355%,8.755760368663594%,91.70506912442397%,83.41013824884793%,8.60215053763441%,94.16282642089094%,94.31643625192012%
c__ABY1,611,0.16366612111292964%,1.6366612111292964%,75.28641571194763%,80.36006546644845%,0.8183306055646482%,84.61538461538461%,84.61538461538461%
c__Microgenomatia,591,3.0456852791878175%,0.1692047377326565%,0.1692047377326565%,0.1692047377326565%,4.39932318104907%,78.34179357021996%,78.34179357021996%
c__Gracilibacteria,345,24.057971014492754%,87.53623188405797%,71.01449275362319%,86.08695652173914%,0.5797101449275363%,90.43478260869566%,90.43478260869566%
c__UBA1384,76,31.57894736842105%,42.10526315789473%,88.1578947368421%,88.1578947368421%,32.89473684210527%,93.42105263157895%,93.42105263157895%
c__WWE3,66,0.0%,0.0%,1.5151515151515151%,1.5151515151515151%,0.0%,71.21212121212122%,71.21212121212122%
c__Dojkabacteria,47,0.0%,0.0%,2.127659574468085%,2.127659574468085%,0.0%,87.2340425531915%,87.2340425531915%
c__Doudnabacteria,40,0.0%,0.0%,72.5%,77.5%,0.0%,77.5%,77.5%
c__Andersenbacteria,15,6.666666666666667%,6.666666666666667%,46.666666666666664%,53.333333333333336%,6.666666666666667%,53.333333333333336%,53.333333333333336%
c__Kazan-3B-28,15,6.666666666666667%,20.0%,86.66666666666667%,86.66666666666667%,20.0%,86.66666666666667%,86.66666666666667%
c__JACMRA01,14,0.0%,0.0%,21.428571428571427%,64.28571428571429%,0.0%,71.42857142857143%,71.42857142857143%
c__CPR2,11,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
c__CPR3,6,100.0%,66.66666666666666%,0.0%,0.0%,100.0%,66.66666666666666%,66.66666666666666%
c__CPR2_A,6,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
c__4484-211,4,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
c__Paceibacteria_A,3,0.0%,0.0%,66.66666666666666%,66.66666666666666%,0.0%,66.66666666666666%,66.66666666666666%
c__JABMPQ01,2,100.0%,100.0%,50.0%,100.0%,50.0%,100.0%,100.0%
c__,2,0.0%,50.0%,50.0%,50.0%,0.0%,100.0%,100.0%
c__SOKK01,1,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%
c__GCA-2792135,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
c__SICC01,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
c__CG2-30-54-11,1,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%
c__Bacteroidia,1,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%
