Taxonomy,No.Seq,V1-V3(27F-534R),V4(515F-806R),V3-V4(341F-785R),V3-V4(341F-806R),V4-V5(515F-926R),V3-V4(CPRv1),V3-V4(CPRv2)
c:Saccharimonadia,3144,0.0%,8.0470737913486%,88.80407124681933%,87.43638676844783%,8.396946564885496%,98.31424936386769%,98.31424936386769%
c:Microgenomatia,1102,0.0%,0.5444646098003629%,0.0%,0.0%,3.2667876588021776%,96.91470054446461%,96.91470054446461%
c:Parcubacteria,1094,0.0%,0.0%,71.84643510054845%,78.70201096892139%,0.0%,96.52650822669105%,96.52650822669105%
c:Gracilibacteria,800,0.0%,93.375%,84.0%,91.375%,1.125%,96.0%,96.0%
c:ABY1,400,0.0%,0.25%,87.25%,88.75%,0.25%,99.5%,99.5%
c:Dojkabacteria,273,0.0%,0.0%,0.7326007326007326%,0.7326007326007326%,0.0%,97.43589743589743%,97.43589743589743%
denovo_midas_class,94,0.0%,30.851063829787233%,38.297872340425535%,38.297872340425535%,30.851063829787233%,100.0%,100.0%
c:Berkelbacteria,59,0.0%,52.54237288135594%,100.0%,100.0%,38.983050847457626%,100.0%,100.0%
c:WWE3,57,0.0%,0.0%,12.280701754385964%,15.789473684210526%,0.0%,77.19298245614034%,77.19298245614034%
c:CPR2,5,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
c:Kazania,5,0.0%,0.0%,80.0%,80.0%,0.0%,80.0%,80.0%
c:MD2896-B216,1,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%
