Taxonomy,No.Seq,V1-V3(27F-534R),V4(515F-806R),V3-V4(341F-785R),V3-V4(341F-806R),V4-V5(515F-926R),V3-V4(CPRv1),V3-V4(CPRv2)
c:Saccharimonadia,3144,0.031806615776081425%,99.96819338422391%,99.36386768447836%,99.74554707379136%,100.0%,100.0%,100.0%
c:Microgenomatia,1102,0.0%,4.809437386569873%,32.94010889292196%,37.93103448275862%,15.789473684210526%,99.18330308529946%,99.18330308529946%
c:Parcubacteria,1094,0.0%,35.64899451553931%,95.97806215722122%,97.89762340036563%,35.37477148080439%,100.0%,100.0%
c:Gracilibacteria,800,0.125%,100.0%,96.875%,96.875%,65.75%,98.625%,98.625%
c:ABY1,400,0.75%,99.0%,91.0%,91.5%,98.75%,99.5%,99.5%
c:Dojkabacteria,273,0.0%,0.0%,98.16849816849816%,98.16849816849816%,0.0%,100.0%,100.0%
denovo_midas_class,94,0.0%,38.297872340425535%,82.97872340425532%,84.04255319148936%,39.361702127659576%,100.0%,100.0%
c:Berkelbacteria,59,0.0%,66.10169491525424%,100.0%,100.0%,66.10169491525424%,100.0%,100.0%
c:WWE3,57,0.0%,70.17543859649122%,64.91228070175438%,64.91228070175438%,70.17543859649122%,100.0%,100.0%
c:CPR2,5,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
c:Kazania,5,0.0%,100.0%,80.0%,100.0%,100.0%,100.0%,100.0%
c:MD2896-B216,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
