Taxonomy,No.Seq,V1-V3(27F-534R),V4(515F-806R),V3-V4(341F-785R),V3-V4(341F-806R),V4-V5(515F-926R),V3-V4(CPRv1),V3-V4(CPRv2)
Saccharimonadia,2978,20.651443922095368%,96.77635997313632%,98.4553391537945%,98.354600402955%,95.4331766286098%,99.6306245802552%,99.6306245802552%
Gracilibacteria,2482,24.375503626107978%,98.79129734085414%,98.30781627719581%,98.3883964544722%,64.78646253021758%,99.75825946817083%,99.75825946817083%
Parcubacteria,1549,17.36604260813428%,59.715945771465464%,89.6061975468044%,92.31762427372499%,58.231116849580374%,97.74047772756617%,97.74047772756617%
Microgenomatia,1314,14.535768645357686%,18.645357686453575%,38.051750380517504%,41.93302891933029%,30.74581430745814%,98.4779299847793%,98.4779299847793%
ABY1,718,44.84679665738162%,93.7325905292479%,94.84679665738162%,96.51810584958217%,86.90807799442896%,98.74651810584957%,98.74651810584957%
Dojkabacteria,328,0.6097560975609756%,1.524390243902439%,96.03658536585365%,96.34146341463415%,1.524390243902439%,98.78048780487805%,98.78048780487805%
WWE3,236,8.050847457627118%,27.966101694915253%,96.1864406779661%,96.61016949152543%,27.966101694915253%,99.57627118644068%,99.57627118644068%
Berkelbacteria,79,39.24050632911392%,75.9493670886076%,92.40506329113924%,92.40506329113924%,74.68354430379746%,98.73417721518987%,98.73417721518987%
CPR2,23,39.130434782608695%,91.30434782608695%,100.0%,100.0%,91.30434782608695%,100.0%,100.0%
Kazania,22,72.72727272727273%,90.9090909090909%,81.81818181818183%,95.45454545454545%,95.45454545454545%,95.45454545454545%,95.45454545454545%
uncultured,16,31.25%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MD2896-B216,4,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
